,Actual Class,Class Size,Correct Class,Equiv Class,Largest Possible Class Size,Predicted Class,gamma,kernel
80,4857,4,True,PERCENTILES,39,4857,scale,sigmoid
81,147,1,True,JUMP,39,147,scale,sigmoid
82,147,1,True,SCORE_DIST,39,147,scale,sigmoid
83,147,4,True,PERCENTILES,39,147,scale,sigmoid
84,3082,1,True,JUMP,39,3082,scale,sigmoid
85,3082,1,True,SCORE_DIST,39,3082,scale,sigmoid
86,3082,4,True,PERCENTILES,39,3082,scale,sigmoid
87,224,1,False,JUMP,39,147,scale,sigmoid
88,224,1,False,SCORE_DIST,39,147,scale,sigmoid
89,224,4,False,PERCENTILES,39,147,scale,sigmoid
90,3082,1,False,JUMP,39,147,scale,sigmoid
91,3082,1,False,SCORE_DIST,39,147,scale,sigmoid
92,3082,4,False,PERCENTILES,39,147,scale,sigmoid
93,710,6,True,JUMP,39,710,scale,sigmoid
94,710,3,True,SCORE_DIST,39,710,scale,sigmoid
95,710,4,True,PERCENTILES,39,710,scale,sigmoid
96,3510,1,False,JUMP,39,98,scale,sigmoid
97,3510,1,False,SCORE_DIST,39,98,scale,sigmoid
98,3510,4,False,PERCENTILES,39,98,scale,sigmoid
99,36,2,False,JUMP,39,3510,scale,sigmoid
100,36,2,False,SCORE_DIST,39,3510,scale,sigmoid
101,36,4,False,PERCENTILES,39,3510,scale,sigmoid
102,147,1,True,JUMP,39,147,scale,sigmoid
103,147,1,True,SCORE_DIST,39,147,scale,sigmoid
104,147,4,True,PERCENTILES,39,147,scale,sigmoid
105,3510,1,False,JUMP,39,147,scale,sigmoid
106,3510,1,False,SCORE_DIST,39,147,scale,sigmoid
107,3510,4,False,PERCENTILES,39,147,scale,sigmoid
108,3082,6,False,JUMP,39,3510,scale,sigmoid
109,3082,3,False,SCORE_DIST,39,3510,scale,sigmoid
110,3082,4,False,PERCENTILES,39,3510,scale,sigmoid
111,710,1,False,JUMP,39,98,scale,sigmoid
112,710,1,False,SCORE_DIST,39,98,scale,sigmoid
113,710,4,True,PERCENTILES,39,98,scale,sigmoid
114,3082,1,True,JUMP,39,3082,scale,sigmoid
115,3082,1,True,SCORE_DIST,39,3082,scale,sigmoid
116,3082,4,True,PERCENTILES,39,3082,scale,sigmoid
117,22,1,False,JUMP,39,224,scale,sigmoid
118,22,1,False,SCORE_DIST,39,224,scale,sigmoid
119,22,4,True,PERCENTILES,39,224,scale,sigmoid
120,601,1,False,JUMP,39,147,scale,sigmoid
121,601,1,False,SCORE_DIST,39,147,scale,sigmoid
122,601,4,False,PERCENTILES,39,147,scale,sigmoid
123,4857,1,False,JUMP,39,147,scale,sigmoid
124,4857,1,False,SCORE_DIST,39,147,scale,sigmoid
125,4857,4,False,PERCENTILES,39,147,scale,sigmoid
126,3096,1,False,JUMP,39,98,scale,sigmoid
127,3096,1,False,SCORE_DIST,39,98,scale,sigmoid
128,3096,4,False,PERCENTILES,39,98,scale,sigmoid
129,2358,1,True,JUMP,39,2358,scale,sigmoid
130,2358,1,True,SCORE_DIST,39,2358,scale,sigmoid
131,2358,4,True,PERCENTILES,39,2358,scale,sigmoid
132,4857,1,False,JUMP,39,3082,scale,sigmoid
133,4857,2,True,SCORE_DIST,39,3082,scale,sigmoid
134,4857,4,True,PERCENTILES,39,3082,scale,sigmoid
135,4857,1,True,JUMP,39,4857,scale,sigmoid
136,4857,2,True,SCORE_DIST,39,4857,scale,sigmoid
137,4857,4,True,PERCENTILES,39,4857,scale,sigmoid
138,98,1,True,JUMP,39,98,scale,sigmoid
139,98,1,True,SCORE_DIST,39,98,scale,sigmoid
140,98,4,True,PERCENTILES,39,98,scale,sigmoid
141,61,1,False,JUMP,39,147,scale,sigmoid
142,61,1,False,SCORE_DIST,39,147,scale,sigmoid
143,61,4,False,PERCENTILES,39,147,scale,sigmoid
144,282,3,False,JUMP,39,98,scale,sigmoid
145,282,1,False,SCORE_DIST,39,98,scale,sigmoid
146,282,4,False,PERCENTILES,39,98,scale,sigmoid
147,857,1,False,JUMP,39,3082,scale,sigmoid
148,857,1,False,SCORE_DIST,39,3082,scale,sigmoid
149,857,4,False,PERCENTILES,39,3082,scale,sigmoid
150,147,1,False,JUMP,39,98,scale,sigmoid
151,147,1,False,SCORE_DIST,39,98,scale,sigmoid
152,147,4,False,PERCENTILES,39,98,scale,sigmoid
153,24,1,False,JUMP,39,98,scale,sigmoid
154,24,1,False,SCORE_DIST,39,98,scale,sigmoid
155,24,4,False,PERCENTILES,39,98,scale,sigmoid
156,2358,2,True,JUMP,39,2358,scale,sigmoid
157,2358,2,True,SCORE_DIST,39,2358,scale,sigmoid
158,2358,4,True,PERCENTILES,39,2358,scale,sigmoid
159,147,1,True,JUMP,39,147,scale,sigmoid
160,147,1,True,SCORE_DIST,39,147,scale,sigmoid
161,147,4,True,PERCENTILES,39,147,scale,sigmoid
162,224,1,False,JUMP,39,98,scale,sigmoid
163,224,1,False,SCORE_DIST,39,98,scale,sigmoid
164,224,4,False,PERCENTILES,39,98,scale,sigmoid
165,2052,3,False,JUMP,39,224,scale,sigmoid
166,2052,1,False,SCORE_DIST,39,224,scale,sigmoid
167,2052,4,False,PERCENTILES,39,224,scale,sigmoid
168,98,1,True,JUMP,39,98,scale,sigmoid
169,98,1,True,SCORE_DIST,39,98,scale,sigmoid
170,98,4,True,PERCENTILES,39,98,scale,sigmoid
171,251,6,False,JUMP,39,224,scale,sigmoid
172,251,1,False,SCORE_DIST,39,224,scale,sigmoid
173,251,4,False,PERCENTILES,39,224,scale,sigmoid
174,98,2,True,JUMP,39,98,scale,sigmoid
175,98,1,True,SCORE_DIST,39,98,scale,sigmoid
176,98,4,True,PERCENTILES,39,98,scale,sigmoid
177,147,1,True,JUMP,39,147,scale,sigmoid
178,147,1,True,SCORE_DIST,39,147,scale,sigmoid
179,147,4,True,PERCENTILES,39,147,scale,sigmoid
180,4857,1,False,JUMP,39,3082,scale,sigmoid
181,4857,1,False,SCORE_DIST,39,3082,scale,sigmoid
182,4857,4,True,PERCENTILES,39,3082,scale,sigmoid
183,98,1,True,JUMP,39,98,scale,sigmoid
184,98,1,True,SCORE_DIST,39,98,scale,sigmoid
185,98,4,True,PERCENTILES,39,98,scale,sigmoid
186,3510,1,False,JUMP,39,147,scale,sigmoid
187,3510,1,False,SCORE_DIST,39,147,scale,sigmoid
188,3510,4,True,PERCENTILES,39,147,scale,sigmoid
189,710,3,True,JUMP,39,3082,scale,sigmoid
190,710,1,False,SCORE_DIST,39,3082,scale,sigmoid
191,710,4,True,PERCENTILES,39,3082,scale,sigmoid
192,2358,1,False,JUMP,39,98,scale,sigmoid
193,2358,1,False,SCORE_DIST,39,98,scale,sigmoid
194,2358,4,True,PERCENTILES,39,98,scale,sigmoid
195,98,6,False,JUMP,39,3082,scale,sigmoid
196,98,2,False,SCORE_DIST,39,3082,scale,sigmoid
197,98,4,False,PERCENTILES,39,3082,scale,sigmoid
198,147,1,True,JUMP,39,147,scale,sigmoid
199,147,1,True,SCORE_DIST,39,147,scale,sigmoid
200,147,4,True,PERCENTILES,39,147,scale,sigmoid
201,3112,3,True,JUMP,39,147,scale,sigmoid
202,3112,1,False,SCORE_DIST,39,147,scale,sigmoid
203,3112,4,True,PERCENTILES,39,147,scale,sigmoid
204,3112,1,False,JUMP,39,147,scale,sigmoid
205,3112,1,False,SCORE_DIST,39,147,scale,sigmoid
206,3112,4,False,PERCENTILES,39,147,scale,sigmoid
207,3203,1,False,JUMP,39,4857,scale,sigmoid
208,3203,1,False,SCORE_DIST,39,4857,scale,sigmoid
209,3203,4,False,PERCENTILES,39,4857,scale,sigmoid
210,3096,1,False,JUMP,39,147,scale,sigmoid
211,3096,2,False,SCORE_DIST,39,147,scale,sigmoid
212,3096,4,True,PERCENTILES,39,147,scale,sigmoid
213,22,2,False,JUMP,39,98,scale,sigmoid
214,22,1,False,SCORE_DIST,39,98,scale,sigmoid
215,22,4,False,PERCENTILES,39,98,scale,sigmoid
216,35,1,False,JUMP,39,147,scale,sigmoid
217,35,1,False,SCORE_DIST,39,147,scale,sigmoid
218,35,4,False,PERCENTILES,39,147,scale,sigmoid
219,3096,1,False,JUMP,39,98,scale,sigmoid
220,3096,1,False,SCORE_DIST,39,98,scale,sigmoid
221,3096,4,False,PERCENTILES,39,98,scale,sigmoid
222,3510,1,False,JUMP,39,147,scale,sigmoid
223,3510,2,False,SCORE_DIST,39,147,scale,sigmoid
224,3510,4,True,PERCENTILES,39,147,scale,sigmoid
225,710,6,True,JUMP,39,224,scale,sigmoid
226,710,1,False,SCORE_DIST,39,224,scale,sigmoid
227,710,4,True,PERCENTILES,39,224,scale,sigmoid
228,257,1,False,JUMP,39,98,scale,sigmoid
229,257,1,False,SCORE_DIST,39,98,scale,sigmoid
230,257,4,False,PERCENTILES,39,98,scale,sigmoid
231,224,1,False,JUMP,39,3082,scale,sigmoid
232,224,1,False,SCORE_DIST,39,3082,scale,sigmoid
233,224,4,True,PERCENTILES,39,3082,scale,sigmoid
234,79,1,False,JUMP,39,224,scale,sigmoid
235,79,2,False,SCORE_DIST,39,224,scale,sigmoid
236,79,4,False,PERCENTILES,39,224,scale,sigmoid
237,2358,1,True,JUMP,39,2358,scale,sigmoid
238,2358,1,True,SCORE_DIST,39,2358,scale,sigmoid
239,2358,4,True,PERCENTILES,39,2358,scale,sigmoid
240,98,1,False,JUMP,39,147,scale,sigmoid
241,98,1,False,SCORE_DIST,39,147,scale,sigmoid
242,98,4,True,PERCENTILES,39,147,scale,sigmoid
243,45,1,False,JUMP,39,98,scale,sigmoid
244,45,1,False,SCORE_DIST,39,98,scale,sigmoid
245,45,4,False,PERCENTILES,39,98,scale,sigmoid
246,98,1,True,JUMP,39,98,scale,sigmoid
247,98,1,True,SCORE_DIST,39,98,scale,sigmoid
248,98,4,True,PERCENTILES,39,98,scale,sigmoid
249,2052,4,False,JUMP,39,710,scale,sigmoid
250,2052,1,False,SCORE_DIST,39,710,scale,sigmoid
251,2052,4,False,PERCENTILES,39,710,scale,sigmoid
252,28,1,False,JUMP,39,98,scale,sigmoid
253,28,2,False,SCORE_DIST,39,98,scale,sigmoid
254,28,4,True,PERCENTILES,39,98,scale,sigmoid
255,2052,3,False,JUMP,39,147,scale,sigmoid
256,2052,2,False,SCORE_DIST,39,147,scale,sigmoid
257,2052,4,False,PERCENTILES,39,147,scale,sigmoid
258,77,1,False,JUMP,39,147,scale,sigmoid
259,77,1,False,SCORE_DIST,39,147,scale,sigmoid
260,77,4,False,PERCENTILES,39,147,scale,sigmoid
261,3203,1,False,JUMP,39,3510,scale,sigmoid
262,3203,1,False,SCORE_DIST,39,3510,scale,sigmoid
263,3203,4,False,PERCENTILES,39,3510,scale,sigmoid
264,79,2,False,JUMP,39,98,scale,sigmoid
265,79,1,False,SCORE_DIST,39,98,scale,sigmoid
266,79,4,False,PERCENTILES,39,98,scale,sigmoid
267,710,2,False,JUMP,39,3082,scale,sigmoid
268,710,1,False,SCORE_DIST,39,3082,scale,sigmoid
269,710,4,True,PERCENTILES,39,3082,scale,sigmoid
270,3510,4,False,JUMP,39,710,scale,sigmoid
271,3510,2,False,SCORE_DIST,39,710,scale,sigmoid
272,3510,4,False,PERCENTILES,39,710,scale,sigmoid
273,3510,1,False,JUMP,39,3082,scale,sigmoid
274,3510,1,False,SCORE_DIST,39,3082,scale,sigmoid
275,3510,4,True,PERCENTILES,39,3082,scale,sigmoid
276,45,1,False,JUMP,39,3082,scale,sigmoid
277,45,1,False,SCORE_DIST,39,3082,scale,sigmoid
278,45,4,False,PERCENTILES,39,3082,scale,sigmoid
279,147,1,True,JUMP,39,147,scale,sigmoid
280,147,1,True,SCORE_DIST,39,147,scale,sigmoid
281,147,4,True,PERCENTILES,39,147,scale,sigmoid
282,79,1,False,JUMP,39,147,scale,sigmoid
283,79,1,False,SCORE_DIST,39,147,scale,sigmoid
284,79,4,True,PERCENTILES,39,147,scale,sigmoid
285,98,1,True,JUMP,39,98,scale,sigmoid
286,98,1,True,SCORE_DIST,39,98,scale,sigmoid
287,98,4,True,PERCENTILES,39,98,scale,sigmoid
288,2162,4,False,JUMP,39,3510,scale,sigmoid
289,2162,1,False,SCORE_DIST,39,3510,scale,sigmoid
290,2162,4,False,PERCENTILES,39,3510,scale,sigmoid
291,3202,1,False,JUMP,39,98,scale,sigmoid
292,3202,1,False,SCORE_DIST,39,98,scale,sigmoid
293,3202,4,False,PERCENTILES,39,98,scale,sigmoid
294,77,1,False,JUMP,39,3082,scale,sigmoid
295,77,1,False,SCORE_DIST,39,3082,scale,sigmoid
296,77,4,False,PERCENTILES,39,3082,scale,sigmoid
297,98,1,False,JUMP,39,147,scale,sigmoid
298,98,1,False,SCORE_DIST,39,147,scale,sigmoid
299,98,4,True,PERCENTILES,39,147,scale,sigmoid
300,3510,1,False,JUMP,39,147,scale,sigmoid
301,3510,1,False,SCORE_DIST,39,147,scale,sigmoid
302,3510,4,False,PERCENTILES,39,147,scale,sigmoid
303,3112,1,False,JUMP,39,98,scale,sigmoid
304,3112,1,False,SCORE_DIST,39,98,scale,sigmoid
305,3112,4,True,PERCENTILES,39,98,scale,sigmoid
306,147,1,True,JUMP,39,147,scale,sigmoid
307,147,1,True,SCORE_DIST,39,147,scale,sigmoid
308,147,4,True,PERCENTILES,39,147,scale,sigmoid
309,3082,1,True,JUMP,39,3082,scale,sigmoid
310,3082,1,True,SCORE_DIST,39,3082,scale,sigmoid
311,3082,4,True,PERCENTILES,39,3082,scale,sigmoid
312,85,1,False,JUMP,39,98,scale,sigmoid
313,85,1,False,SCORE_DIST,39,98,scale,sigmoid
314,85,4,False,PERCENTILES,39,98,scale,sigmoid
315,147,1,True,JUMP,39,147,scale,sigmoid
316,147,1,True,SCORE_DIST,39,147,scale,sigmoid
317,147,4,True,PERCENTILES,39,147,scale,sigmoid
318,3254,1,False,JUMP,39,147,scale,sigmoid
319,3254,1,False,SCORE_DIST,39,147,scale,sigmoid
320,3254,4,False,PERCENTILES,39,147,scale,sigmoid
321,147,1,True,JUMP,39,147,scale,sigmoid
322,147,1,True,SCORE_DIST,39,147,scale,sigmoid
323,147,4,True,PERCENTILES,39,147,scale,sigmoid
324,22,1,False,JUMP,39,3082,scale,sigmoid
325,22,1,False,SCORE_DIST,39,3082,scale,sigmoid
326,22,4,True,PERCENTILES,39,3082,scale,sigmoid
327,98,1,True,JUMP,39,98,scale,sigmoid
328,98,1,True,SCORE_DIST,39,98,scale,sigmoid
329,98,4,True,PERCENTILES,39,98,scale,sigmoid
330,147,1,True,JUMP,39,147,scale,sigmoid
331,147,1,True,SCORE_DIST,39,147,scale,sigmoid
332,147,4,True,PERCENTILES,39,147,scale,sigmoid
333,4857,1,False,JUMP,39,3082,scale,sigmoid
334,4857,1,False,SCORE_DIST,39,3082,scale,sigmoid
335,4857,4,True,PERCENTILES,39,3082,scale,sigmoid
336,3082,1,True,JUMP,39,3082,scale,sigmoid
337,3082,1,True,SCORE_DIST,39,3082,scale,sigmoid
338,3082,4,True,PERCENTILES,39,3082,scale,sigmoid
339,22,1,False,JUMP,39,147,scale,sigmoid
340,22,1,False,SCORE_DIST,39,147,scale,sigmoid
341,22,4,True,PERCENTILES,39,147,scale,sigmoid
342,24,1,False,JUMP,39,98,scale,sigmoid
343,24,1,False,SCORE_DIST,39,98,scale,sigmoid
344,24,4,False,PERCENTILES,39,98,scale,sigmoid
345,147,1,True,JUMP,39,147,scale,sigmoid
346,147,1,True,SCORE_DIST,39,147,scale,sigmoid
347,147,4,True,PERCENTILES,39,147,scale,sigmoid
348,97,1,False,JUMP,39,98,scale,sigmoid
349,97,1,False,SCORE_DIST,39,98,scale,sigmoid
350,97,4,False,PERCENTILES,39,98,scale,sigmoid
351,257,1,False,JUMP,39,147,scale,sigmoid
352,257,1,False,SCORE_DIST,39,147,scale,sigmoid
353,257,4,False,PERCENTILES,39,147,scale,sigmoid
354,3254,1,False,JUMP,39,3082,scale,sigmoid
355,3254,1,False,SCORE_DIST,39,3082,scale,sigmoid
356,3254,4,False,PERCENTILES,39,3082,scale,sigmoid
357,3112,1,False,JUMP,39,98,scale,sigmoid
358,3112,1,False,SCORE_DIST,39,98,scale,sigmoid
359,3112,4,False,PERCENTILES,39,98,scale,sigmoid
360,710,1,False,JUMP,39,98,scale,sigmoid
361,710,1,False,SCORE_DIST,39,98,scale,sigmoid
362,710,4,False,PERCENTILES,39,98,scale,sigmoid
363,98,1,True,JUMP,39,98,scale,sigmoid
364,98,1,True,SCORE_DIST,39,98,scale,sigmoid
365,98,4,True,PERCENTILES,39,98,scale,sigmoid
366,108,1,False,JUMP,39,3082,scale,sigmoid
367,108,1,False,SCORE_DIST,39,3082,scale,sigmoid
368,108,4,False,PERCENTILES,39,3082,scale,sigmoid
369,4857,2,False,JUMP,39,3082,scale,sigmoid
370,4857,1,False,SCORE_DIST,39,3082,scale,sigmoid
371,4857,4,True,PERCENTILES,39,3082,scale,sigmoid
372,224,1,True,JUMP,39,224,scale,sigmoid
373,224,1,True,SCORE_DIST,39,224,scale,sigmoid
374,224,4,True,PERCENTILES,39,224,scale,sigmoid
375,61,1,False,JUMP,39,147,scale,sigmoid
376,61,1,False,SCORE_DIST,39,147,scale,sigmoid
377,61,4,False,PERCENTILES,39,147,scale,sigmoid
378,147,1,True,JUMP,39,147,scale,sigmoid
379,147,1,True,SCORE_DIST,39,147,scale,sigmoid
380,147,4,True,PERCENTILES,39,147,scale,sigmoid
381,2390,1,False,JUMP,39,3082,scale,sigmoid
382,2390,1,False,SCORE_DIST,39,3082,scale,sigmoid
383,2390,4,False,PERCENTILES,39,3082,scale,sigmoid
384,22,1,False,JUMP,39,147,scale,sigmoid
385,22,1,False,SCORE_DIST,39,147,scale,sigmoid
386,22,4,True,PERCENTILES,39,147,scale,sigmoid
387,147,1,True,JUMP,39,147,scale,sigmoid
388,147,1,True,SCORE_DIST,39,147,scale,sigmoid
389,147,4,True,PERCENTILES,39,147,scale,sigmoid
390,2162,1,False,JUMP,39,98,scale,sigmoid
391,2162,1,False,SCORE_DIST,39,98,scale,sigmoid
392,2162,4,False,PERCENTILES,39,98,scale,sigmoid
393,447,2,False,JUMP,39,4857,scale,sigmoid
394,447,3,False,SCORE_DIST,39,4857,scale,sigmoid
395,447,4,False,PERCENTILES,39,4857,scale,sigmoid
396,3112,1,False,JUMP,39,147,scale,sigmoid
397,3112,1,False,SCORE_DIST,39,147,scale,sigmoid
398,3112,4,True,PERCENTILES,39,147,scale,sigmoid
399,4857,1,False,JUMP,39,98,scale,sigmoid
400,4857,1,False,SCORE_DIST,39,98,scale,sigmoid
401,4857,4,False,PERCENTILES,39,98,scale,sigmoid
402,79,1,False,JUMP,39,710,scale,sigmoid
403,79,1,False,SCORE_DIST,39,710,scale,sigmoid
404,79,4,True,PERCENTILES,39,710,scale,sigmoid
405,147,1,True,JUMP,39,147,scale,sigmoid
406,147,1,True,SCORE_DIST,39,147,scale,sigmoid
407,147,4,True,PERCENTILES,39,147,scale,sigmoid
408,3082,1,True,JUMP,39,3082,scale,sigmoid
409,3082,1,True,SCORE_DIST,39,3082,scale,sigmoid
410,3082,4,True,PERCENTILES,39,3082,scale,sigmoid
411,147,1,True,JUMP,39,147,scale,sigmoid
412,147,1,True,SCORE_DIST,39,147,scale,sigmoid
413,147,4,True,PERCENTILES,39,147,scale,sigmoid
414,3202,1,False,JUMP,39,98,scale,sigmoid
415,3202,1,False,SCORE_DIST,39,98,scale,sigmoid
416,3202,4,False,PERCENTILES,39,98,scale,sigmoid
417,3112,1,False,JUMP,39,147,scale,sigmoid
418,3112,1,False,SCORE_DIST,39,147,scale,sigmoid
419,3112,4,True,PERCENTILES,39,147,scale,sigmoid
420,147,1,True,JUMP,39,147,scale,sigmoid
421,147,1,True,SCORE_DIST,39,147,scale,sigmoid
422,147,4,True,PERCENTILES,39,147,scale,sigmoid
423,98,1,False,JUMP,39,224,scale,sigmoid
424,98,1,False,SCORE_DIST,39,224,scale,sigmoid
425,98,4,True,PERCENTILES,39,224,scale,sigmoid
426,98,1,True,JUMP,39,98,scale,sigmoid
427,98,1,True,SCORE_DIST,39,98,scale,sigmoid
428,98,4,True,PERCENTILES,39,98,scale,sigmoid
429,3082,1,False,JUMP,39,147,scale,sigmoid
430,3082,1,False,SCORE_DIST,39,147,scale,sigmoid
431,3082,4,True,PERCENTILES,39,147,scale,sigmoid
432,3082,1,True,JUMP,39,3082,scale,sigmoid
433,3082,1,True,SCORE_DIST,39,3082,scale,sigmoid
434,3082,4,True,PERCENTILES,39,3082,scale,sigmoid
435,3112,10,True,JUMP,39,3510,scale,sigmoid
436,3112,1,False,SCORE_DIST,39,3510,scale,sigmoid
437,3112,4,False,PERCENTILES,39,3510,scale,sigmoid
438,3082,1,True,JUMP,39,3082,scale,sigmoid
439,3082,1,True,SCORE_DIST,39,3082,scale,sigmoid
440,3082,4,True,PERCENTILES,39,3082,scale,sigmoid
441,35,1,False,JUMP,39,147,scale,sigmoid
442,35,1,False,SCORE_DIST,39,147,scale,sigmoid
443,35,4,False,PERCENTILES,39,147,scale,sigmoid
444,308,1,False,JUMP,39,98,scale,sigmoid
445,308,2,False,SCORE_DIST,39,98,scale,sigmoid
446,308,4,False,PERCENTILES,39,98,scale,sigmoid
447,224,1,False,JUMP,39,98,scale,sigmoid
448,224,1,False,SCORE_DIST,39,98,scale,sigmoid
449,224,4,True,PERCENTILES,39,98,scale,sigmoid
450,45,1,False,JUMP,39,98,scale,sigmoid
451,45,1,False,SCORE_DIST,39,98,scale,sigmoid
452,45,4,False,PERCENTILES,39,98,scale,sigmoid
453,147,1,True,JUMP,39,147,scale,sigmoid
454,147,1,True,SCORE_DIST,39,147,scale,sigmoid
455,147,4,True,PERCENTILES,39,147,scale,sigmoid
456,79,1,False,JUMP,39,147,scale,sigmoid
457,79,1,False,SCORE_DIST,39,147,scale,sigmoid
458,79,4,True,PERCENTILES,39,147,scale,sigmoid
